Theme,Question,Answer
Базы данных. SQL (плюс - аналитические и агрегатные функции),Агрегатные функции,"Агрегатные функции предназначены для того, чтобы вычислять некоторое значение для заданного мультимножества строк. Агрегатная функция возвращает 1 результирующую строку, которая основана на группе строк.
AVG() Среднее значение агрумента
BIT_AND() Битовое и
BIT_OR() Битовое  или
BIT_XOR() Битовое исключающее или
COUNT(DISTINCT) Количество неповторяемых значений
COUNT() Количество возвращенных строк
GROUP_CONCAT() Конкатенированная строка
MAX() Максимальное значение
MIN() Минимальное значение
SUM() Сумма"
Базы данных. SQL (плюс - аналитические и агрегатные функции),Аналитические функции,"Аналитические функции вычисляют агрегированное значение, основанное на группе строк. ОТЛИЧИЕ агрегатной от аналитической функции - аналитическая функция возвращает не 1 строку результата для группы, а множество строк для группы.
ИМЯ_ФУНКЦИИ(<аргумент>,< аргумент >, . . . )
OVER
(<конструкция_фрагментации> <конструкция_упорядочения> <конструкция_окна>)
OVER — ключевое слово, идентифицирующее эту функцию как аналитическую.Конструкция после ключевого слова OVER описывает срез данных, по которому будет вычисляться аналитическая функция.
PARTITION BY логически разбивает результирующее множество на группы по критериям, задаваемым выражениями секционирования. Аналитические функции применяются к каждой группе независимо, — для каждой новой группы они сбрасываются. Если не указать конструкцию секционирования, все результирующее множество считается одной группой.
ORDER BY задает критерий сортировки данных в каждой группе (в каждой секции)
SELECT empno, deptno, sal,
       AVG(sal) OVER (PARTITION BY deptno) AS avg_dept_sal
FROM   emp;"
Базы данных. Оптимизация производительности,Производительность,"Для оптимальной производительности запросов индексы обычно создаются на тех столбцах таблицы, которые часто используются в запросах. Для одной таблицы может быть создано несколько индексов. Однако увеличение числа индексов замедляет операции добавления, обновления, удаления строк таблицы, поскольку при этом приходится обновлять сами индексы. Кроме того, индексы занимают дополнительный объем памяти, поэтому перед созданием индекса следует убедиться, что планируемый выигрыш в производительности запросов превысит дополнительную затрату ресурсов компьютера на сопровождение индекса."
Базы данных. Оптимизация производительности,Индексирование,"Зачительно убыстряет SELECT запросы, однако индексы занимают дополнительную память и периодически должны быть перестроены. Оптимальное решение сложно найти, поэтому разработчики и администраторы баз данных тратят много времени на поиск золотой середины, к тому же индексы необходимо реорганизовывать."
Базы данных. Оптимизация производительности,Скорость работы индексов,"Внешние ключи желательно индексировать, это грозит значительным повышением производительности;
Отдельно проиндексированные столбцы текста, даты, чисел повышают скорость запросов;
Индексы лучше работают с таблицами, содержащими большое количество строк;
Индексы лучше работают при выборке большого количества строк;
Индексы слабо работают с вычисляемыми столбцами;
В объединяющих запросах необходимо индексировать внешний ключ и столбец, по которому будет происходить поиск;
Индекс не поможет, если конструкция WHERE содержит условия поиска для двух таблиц;
На скорость вставки данных индексы не влияют."
Базы данных. Индексы,Индекс,"Объект базы данных, создаваемый с целью повышения производительности поиска данных. Таблицы в базе данных могут иметь большое количество строк, которые хранятся в произвольном порядке, и их поиск по заданному критерию путём последовательного просмотра таблицы строка за строкой может занимать много времени. Индекс формируется из значений одного или нескольких столбцов таблицы и указателей на соответствующие строки таблицы и, таким образом, позволяет искать строки, удовлетворяющие критерию поиска. Ускорение работы с использованием индексов достигается в первую очередь за счёт того, что индекс имеет структуру, оптимизированную под поиск."
Базы данных. Индексы,Кластерные индексы,При наличии кластерного индекса строки таблицы упорядочены по значению ключа этого индекса.
Базы данных. Индексы,Некластерные индексы,"Если в таблице нет кластерного индекса, таблица называется кучей. Некластерный индекс, созданный для такой таблицы, содержит только указатели на записи таблицы. Кластерный индекс может быть только одним для каждой таблицы, но каждая таблица может иметь несколько различных некластерных индексов, каждый из которых определяет свой собственный порядок следования записей."
Базы данных. Индексы,Разрежённый индекс,"Каждый ключ в разрежённом индексе, в отличие от плотного индекса, ассоциируется с определённым указателем на блок в сортированном файле данных. Идея использования индексов пришла оттого, что современные базы данных слишком массивны и не помещаются в основную память. Мы обычно делим данные на блоки и размещаем данные в памяти поблочно. Однако поиск записи в БД может занять много времени. С другой стороны, файл индексов или блок индексов намного меньше блока данных и может поместиться в буфере основной памяти, что увеличивает скорость поиска записи. Поскольку ключи отсортированы, можно воспользоваться бинарным поиском. В кластерных индексах с дублированными ключами разрежённый индекс указывает на наименьший ключ в каждом блоке."
Базы данных. Индексы,Плотный индекс,"Каждый ключ в плотном индексе, в отличие от разреженного индекса, ассоциируется с определённым указателем на запись в сортированном файле данных"
Базы данных. Хранимые процедуры и триггеры,Хранимые процедуры,"Как правило, мы в работе с БД используем одни и те же запросы, либо набор последовательных запросов. Хранимые процедуры позволяют объединить последовательность запросов и сохранить их на сервере."
Базы данных. Хранимые процедуры и триггеры,Пример,"CREATE PROCEDURE ins_cust(n CHAR(50), e CHAR(50))
     begin
        insert into customers  (name, email) value (n, e);                                                   процедура по добавлению поставщика
     end

call ins_cust('Сычов Валерий', 'valera@gmail.ru')                                                        вызов процедуры"
Базы данных. Хранимые процедуры и триггеры,Триггер," Хранимая процедура особого типа, которую пользователь не вызывает непосредственно, а исполнение которой обусловлено действием по модификации данных. Триггеры применяются для обеспечения целостности данных и реализации сложной бизнес-логики. Триггер запускается сервером автоматически при попытке изменения данных в таблице, с которой он связан. Все производимые им модификации данных рассматриваются как выполняемые в транзакции, в которой выполнено действие, вызвавшее срабатывание триггера. Соответственно, в случае обнаружения ошибки или нарушения целостности данных может произойти откат этой транзакции."
Базы данных. Хранимые процедуры и триггеры,Типы триггеров,"Триггеры BEFORE, AFTER и INSTEAD OF - выполняются до выполнения операции обновления базовой таблицы/после/вместо
Триггеры INSERT, UPDATE и DELETE - указывает на природу события, вызвавшего триггер
Триггеры ROW и STATEMENT- FOR EACH ROW-триггер будет вызываться для каждой строки обновляемой таблицы, FOR EACH STATEMENT-один раз для всего процесса"
Базы данных. Хранимые процедуры и триггеры,Пример,"INSERT INTO Сделка 
  VALUES (3,1,-299,'01/08/2002')

триггер для отмены команды в случае если недостаточно товара
CREATE TRIGGER Триггер_ins
ON Сделка FOR INSERT
AS
IF @@ROWCOUNT=1
BEGIN
  IF NOT EXISTS(SELECT *
      FROM inserted
      WHERE -inserted.количество<=ALL(SELECT
        Склад.Остаток
    FROM Склад,Сделка
    WHERE Склад.КодТовара=
      Сделка.КодТовара))
    BEGIN
      ROLLBACK TRAN
    PRINT 
     'Отмена поставки: товара на складе нет'
    END
END"
Базы данных. Права доступа,Пользователи,"Каждый пользователь в среде SQL, имеет специальное идентификационное имя или номер."
Базы данных. Права доступа,Предоставление привилегий,"GRANT SELECT, INSERT ON Orders TO USER1, USER2;                         дать права на селект и инсерт в таблице orders юзеру1 и юзеру2
GRANT ALL ON Customers TO USER1;                                                    дать все права в таблице customers юзеру1
GRANT UPDATE (COL1, COL2) ON Customers TO USER2;                   дать права на апдейт столбцов COL1 и COL2 в таблице customers юзеру2
GRANT SELECT ON Customers TO PUBLIC;                                            дать права на селект в таблице customers всем
GRANT INSERT ON Orders TO USER1 WITH GRANT OPTION;            дать права с возможностью передачи прав"
Базы данных. Права доступа,Отмена привилегий,REVOKE INSERT ON Orders FROM USER1;                                          забрать права на инсерт в таблице orders у юзера1
Базы данных. Права доступа,Запрет действий,DENY SELECT ON Orders TO USER1;
Коллекции (а так же хэшированные наборы данных),Хэширование ," Преобразование массива входных данных произвольной длины в (выходную) битовую строку фиксированной длины, выполняемое определённым алгоритмом."
Коллекции (а так же хэшированные наборы данных),Хэш-таблица," Структура данных, реализующая интерфейс ассоциативного массива, а именно, она позволяет хранить пары (ключ, значение) и выполнять три операции: операцию добавления новой пары, операцию поиска и операцию удаления пары по ключу."
Коллекции (а так же хэшированные наборы данных),Использование хэширования,"Хеширование применяется в следующих случаях:
при построении словарей;
при поиске дубликатов в сериях наборов данных;
при построении уникальных идентификаторов для наборов данных;
при вычислении контрольных сумм от данных (сигнала) для последующего обнаружения в них ошибок (возникших случайно или внесённых намеренно), возникающих при хранении и/или передаче данных;
при сохранении паролей в системах защиты в виде хеш-кода (для восстановления пароля по хеш-коду требуется функция, являющаяся обратной по отношению к использованной хеш-функции);
при выработке электронной подписи (на практике часто подписывается не само сообщение, а его «хеш-образ»);"
"Базовые знания и опыт составления, применения и оптимизации алгоритмов",Алгоритм,"Точное предписание, однозначно определяющее вычислительный процесс, ведущий от варьируемых начальных данных к искомому результату"
"Базовые знания и опыт составления, применения и оптимизации алгоритмов",Сложность алгоритма,"При разработке алгоритмов очень важно иметь возможность оценить ресурсы, необходимые для проведения вычислений. Оцениваемым ресурсом чаще всего является процессорное время (вычислительная сложность) и память (сложность алгоритма по памяти). Оценка позволяет предсказать время выполнения и сравнивать эффективность алгоритмов."
"Базовые знания и опыт составления, применения и оптимизации алгоритмов",Подсчет выполняемых операций,"Точное количество операций будет зависеть от обрабатываемых данных, поэтому имеет смысл говорить о наилучшем, наихудшем и среднем случаях. При этом худшему случаю всегда уделяется особое внимание, в том числе потому, что «плохие» данные могут быть намеренно поданы на вход злоумышленником.
Понятие среднего случая используется для оценки поведения алгоритма с расчетом на то, что наборы данных равновероятны."
"Базовые знания и опыт составления, применения и оптимизации алгоритмов",Асимптотический анализ алгоритмов,"Одним из упрощенных видов анализа, используемых на практике, является асимптотический анализ алгоритмов. Целью асимптотического анализа является сравнение затрат времени и других ресурсов различными алгоритмами, предназначенными для решения одной и той же задачи, при больших объемах входных данных.
«почистить ковёр пылесосом» требует время, линейно зависящее от его площади ( {\displaystyle \Theta (A)} \Theta (A)), то есть на ковёр, площадь которого больше в два раза, уйдет в два раза больше времени. Соответственно, при увеличении площади ковра в сто тысяч раз объём работы увеличивается строго пропорционально в сто тысяч раз, и т. п.
«найти имя в телефонной книге» требует всего лишь времени, логарифмически зависящего от количества записей ( {\displaystyle O(\log _{2}(n))} O(\log _{2}(n))), так как, открыв книгу примерно в середине, мы уменьшаем размер «оставшейся проблемы» вдвое (за счет сортировки имен по алфавиту). Таким образом, в книге объёмом в 1000 страниц любое имя находится не больше, чем за {\displaystyle \log _{2}1000\approx 10} \log _{2}1000\approx 10 раз (открываний книги). При увеличении объёма страниц до ста тысяч проблема все ещё решается за {\displaystyle \log _{2}100000\approx 17} \log _{2}100000\approx 17 заходов. (См. Двоичный поиск.)"
"Знание основ технологии взаимодействия приложения с БД (JBDC, ODBC, ADO и т.д.). Выполнение простых запросов, обработка результатов",ODBC (Open Database Connectivity),"Программный интерфейс (API) доступа к базам данных. C помощью ODBC прикладные программисты могли разрабатывать приложения для использования одного интерфейса доступа к данным, не беспокоясь о тонкостях взаимодействия с несколькими источниками."
"Знание основ технологии взаимодействия приложения с БД (JBDC, ODBC, ADO и т.д.). Выполнение простых запросов, обработка результатов",JDBC (Java DataBase Connectivity — соединение с базами данных на Java),"Платформенно-независимый промышленный стандарт взаимодействия Java-приложений с различными СУБД, реализованный в виде пакета java.sql, входящего в состав Java SE.
JDBC основан на концепции так называемых драйверов, позволяющих получать соединение с базой данных по специально описанному URL. Драйверы могут загружаться динамически (во время работы программы). Загрузившись, драйвер сам регистрирует себя и вызывается автоматически, когда программа требует URL, содержащий протокол, за который драйвер отвечает."
"Знание основ технологии взаимодействия приложения с БД (JBDC, ODBC, ADO и т.д.). Выполнение простых запросов, обработка результатов",Преимущества,"Лёгкость разработки: разработчик может не знать специфики базы данных, с которой работает;
Код практически не меняется, если компания переходит на другую базу данных (количество изменений зависит исключительно от различий между диалектами SQL);
Не нужно устанавливать громоздкую клиентскую программу;
К любой базе можно подсоединиться через легко описываемый URL."
"Знание основ технологии взаимодействия приложения с БД (JBDC, ODBC, ADO и т.д.). Выполнение простых запросов, обработка результатов",ADO (ActiveX Data Objects,"Интерфейс программирования приложений для доступа к данным, разработанный компанией Microsoft (MS Access, MS SQL Server) и основанный на технологии компонентов ActiveX. ADO позволяет представлять данные из разнообразных источников (реляционных баз данных, текстовых файлов и т. д.) в объектно-ориентированном виде."
"Знание основ технологии взаимодействия приложения с БД (JBDC, ODBC, ADO и т.д.). Выполнение простых запросов, обработка результатов",ADOdb,"Программная библиотека, обеспечивающая прикладной интерфейс доступа к базам данных для языков программирования PHP и Python, основанная на некоторых концепциях Microsoft ActiveX Data Objects.
import adodb
conn = adodb.NewADOConnection('mysql://user:pwd@server/db')
cursor = conn.Execute('select * from table')
for row in cursor:
 print row"
Отладка кода,Отладка,"Этап разработки, на котором обнаруживают, локализуют и устраняют ошибки. Чтобы понять, где возникла ошибка, приходится:
узнавать текущие значения переменных;
выяснять, по какому пути выполнялась программа.
Существуют две взаимодополняющие технологии отладки."
Отладка кода,Использование отладчиков,"Программ, которые включают в себя пользовательский интерфейс для пошагового выполнения программы: оператор за оператором, функция за функцией, с остановками на некоторых строках исходного кода или при достижении определённого условия."
Отладка кода,Вывод текущего состояния программы," с помощью расположенных в критических точках программы операторов вывода — на экран, принтер, громкоговоритель или в файл. Вывод отладочных сведений в файл называется журналированием."
Отладка кода,Инструменты отладки,"Профилировщики. Они позволят определить, сколько времени выполняется тот или иной участок кода. Анализ покрытия позволяет выявить неисполняемые участки кода.
API логгеры позволяют отследить взаимодействие программы и Windows API при помощи записи сообщений Windows в лог.
Дизассемблеры позволяют посмотреть ассемблерный код исполняемого файла
Снифферы помогут отследить сетевой трафик, генерируемый программой
Снифферы аппаратных интерфейсов позволяют увидеть данные, которыми обмениваются система и устройство.
Логи системы."
Отладка кода,"Инструменты, снижающие потребность в отладке","Контрактное программирование — чтобы программист подтверждал другим путём, что ему на выходе нужно именно такое поведение программы. 
Модульное тестирование — проверка поведения программы по частям.
Статический анализ кода — проверка кода на стандартные ошибки «по недосмотру».
Высокая культура программирования, в частности, паттерны проектирования, соглашения об именовании и прозрачное поведение отдельных блоков кода
Широкое использование проверенных внешних библиотек."
Основные команды CMD (Windows),Основные команды работы с каталогами,"MD - Создание каталога. (MD имя каталога, есть возможность указать путь расположения).
RD - Удаление каталога. (RD имя каталога, есть возможность указать путь расположения). Примечание, RD без ключей позволяет удалить только пустой каталог.
CD - Смена текущего каталога. (CD имя каталога, есть возможность указать путь расположения). CD\ - Переход в корневой каталог. CD.. - Переход в родительский 
DIR - Просмотр каталога ввиде списка.  (DIR имя каталога, есть возможность указать путь расположения).
TREE - Вывод каталогов в граффическом представлении. (TREE имя каталога, есть возможность указать путь расположения).
MOVE - Перемещение\Переименование каталога. (MOVE что_перемещаем куда_перемещаем, есть возможность указать путь расположения).
XCOPY - Копирование структур каталогов. (XCOPY что_копируем куда_копируем, есть возможность указать путь расположения)."
Основные команды CMD (Windows),Команды работы с файлами,"COPY CON - Создание файла. (COPY CON имя_файла_с_расширением, есть возможность указать путь расположения).
TYPE - Вывод содержимого файла на экран. (TYPE имя_файла_с_расширением, есть возможность указать путь расположения).
DEL - Удаление файла. (DEL имя_файла_с_расширением, есть возможность указать путь расположения).
COPY - Копирование файла\Обьединения файлов. (COPY что_копируем куда_копируем, есть возможность указать путь расположения). (COPY имя_файла + имя_файла + имя_файла... имя_файла_обьединения, есть возможность указать путь расположения).
EDIT - Создание\Редактирование файла. (EDIT имя файла, есть возможность указать путь расположения).
MOVE - Перемещение\Переименование файла. (MOVE что_перемещаем куда_перемещаем, есть возможность указать путь расположения).
REN - Переименование файлов. (REN что_переименовываем вочто_переименовываем, есть возможность указать путь расположения).
FC - Сравнение файлов. (FC имя_файла имя_файла имя_файла..., есть возможность указать путь расположения)."
Основные команды CMD (Windows),Команды системного назначения,"CLS - Отчистка экрана.
DATE - Просмотр и вывод на изменения текущей даты.
VER - Вывод информации о текущей версии Операционной системы.
VOL - Вывод информации о томе-логическом разделе диска.
SYSTEMINFO - Вывод инофрмации о конфигурациях системы.
EXIT - Выход из командной строки."
Умение написать CMD-файл,Командные файлы,"Текстовый файл, в котором набраны команды для cmd. Командным файлам принято давать расширение bat."
Умение написать CMD-файл,Передача командному файлу параметров,"Если при запуске командного файла пользователь указал несколько параметров, то в тексте командного файла первый из них мы обозначаем записью %1, второй записью %2, третий записью %3 и т.д. Этими обозначениями мы пользуемся в тексте командного файла."
Умение написать CMD-файл,Пример,"Следующий командный файл создает каталог с именем, указанным в первом параметре, и записывает в него файл с текстом описания команды, указанной во втором параметре.
rem Пример командного файла с двумя параметрами
rem Создаем каталог с именем, заданным первым параметром
md %1
rem Создаем в нем файл с описанием команды,
rem заданной вторым параметром
help %2 > %1\%2.help"
Умение написать CMD-файл,Некоторый синтаксис,"SET - переменная                             set help_compiler=c:\HTML Help Workshop\hcc.exe                           % help_compiler%
IF ELSE GOTO                                     if not ""%1""=="""" goto compile                           :compile
EXIST                                                   IF NOT EXIST %1.AAA
FOR                                                     for /r website %%i in (*.htm) do ren %%i %%~ni.html
CALL                                                    вызвать из одного командного файла другой командный файл"
"Навык использования IDE для разработки приложений (IDEA, Eclipse, VisualStudio, WebStorm, PhpStorm и т. д.)",IDE,"Интегрированная среда разработки. Комплекс программных средств, используемый программистами для разработки программного обеспечения (ПО).
Среда разработки включает в себя:
текстовый редактор,
компилятор и/или интерпретатор,
средства автоматизации сборки,
отладчик."
"Начальные навыки пользования сборщиком проектов (MsBuild, Maven, Ant и т. д.)",Сборщик проектов,"Сборщики проетов помогает оптимизировать процесс работы. Они могут преобразовывать одни файлы в другие, запушить изменения в GIT, автоматизировать тесты, минифицировать файлы, склеивать файлы.
Например если в проекте используется большое количество CSS или JS, чтобы клиенту не загружать большое количество файлов сборщик может объединить их в main.css или main.js"
Системы управления версиями (VCS). Умение пользоваться. (SVN/GIT/TFS/Subversion и т.д.),Система управления версиями,"Программное обеспечение для облегчения работы с изменяющейся информацией. Система управления версиями позволяет хранить несколько версий одного и того же документа, при необходимости возвращаться к более ранним версиям, определять, кто и когда сделал то или иное изменение, и многое другое."
Системы управления версиями (VCS). Умение пользоваться. (SVN/GIT/TFS/Subversion и т.д.),"Ветвление, branch","Отсутствие фиксации промежуточных изменений на сервере не позволяет работать над чем-либо в групповом режиме, кроме того, повышается риск потери изменений при локальных авариях и теряется возможность анализа и возврата к предыдущим вариантам кода в пределах данной работы. Поэтому для таких изменений обычной практикой является создание ветвей (branch), то есть «отпочковывание» от ствола в какой-то версии нового варианта проекта или его части, разработка в котором ведётся параллельно с изменениями в основной версии."
Системы управления версиями (VCS). Умение пользоваться. (SVN/GIT/TFS/Subversion и т.д.),Слияние версий,"Найденные наборы изменённых строк, которые не пересекаются между собой, считаются совместимыми и их слияние делается автоматически. Если в сливаемых файлах находятся изменения, затрагивающие одну и ту же строку файла, это приводит к конфликту. Такие файлы могут быть объединены только вручную."
Системы управления версиями (VCS). Умение пользоваться. (SVN/GIT/TFS/Subversion и т.д.),Конфликты и их разрешение,"Для разрешения конфликта система, в общем случае, предлагает разработчику три варианта конфликтующих файлов: базовый, локальный и серверный. Конфликтующие изменения либо показываются разработчику в специальном программном модуле объединения изменений"
Системы управления версиями (VCS). Умение пользоваться. (SVN/GIT/TFS/Subversion и т.д.),Блокировки,"Механизм блокировки позволяет одному из разработчиков захватить в монопольное использование файл или группу файлов для внесения в них изменений. На то время, пока файл заблокирован, он остаётся доступным всем остальным разработчикам только на чтение, и любая попытка внести в него изменения отвергается сервером. "
Системы управления версиями (VCS). Умение пользоваться. (SVN/GIT/TFS/Subversion и т.д.),Распределённые системы управления версиями,"Такие системы используют распределённую модель вместо традиционной клиент-серверной. Они, в общем случае, не нуждаются в централизованном хранилище: вся история изменения документов хранится на каждом компьютере, в локальном хранилище, и при необходимости отдельные фрагменты истории локального хранилища синхронизируются с аналогичным хранилищем на другом компьютере. В некоторых таких системах локальное хранилище располагается непосредственно в каталогах рабочей копии."
Навык использования системы ведения проектов (Jira),Jira,"Коммерческая система отслеживания ошибок, предназначена для организации взаимодействия с пользователями, хотя в некоторых случаях используется и для управления проектами."
Навык использования системы ведения проектов (Jira),Управление проектами," Область деятельности, в ходе которой определяются и достигаются четкие цели проекта при балансировании между объёмом работ, ресурсами (такими как деньги, труд, материалы, энергия, пространство и др.), временем, качеством и рисками."
Стили программирования,Процедурное программирование,"Выполнение программы сводится к последовательному выполнению операторов с целью преобразования исходного состояния памяти, то есть значений исходных данных, в заключительное, то есть в результаты. Таким образом, с точки зрения программиста имеются программа и память, причем первая последовательно обновляет содержимое последней."
Стили программирования,Функциональное программирование,"Функциональное программирование предполагает обходиться вычислением результатов функций от исходных данных и результатов других функций, и не предполагает явного хранения состояния программы. Соответственно, не предполагает оно и изменяемость этого состояния (в отличие от императивного, где одной из базовых концепций является переменная, хранящая своё значение и позволяющая менять его по мере выполнения алгоритма)."
Стили программирования,Логическое программирование,"Парадигма программирования, основанная на автоматическом доказательстве теорем, а также раздел дискретной математики, изучающий принципы логического вывода информации на основе заданных фактов и правил вывода. Логическое программирование основано на теории и аппарате математической логики с использованием математических принципов резолюций.
Центральным понятием в логическом программировании является отношение. Программа представляет собой совокупность определений отношений между объектами (в терминах условий или ограничений) и цели (запроса). Процесс выполнения программы трактуется как процесс общезначимости логической формулы, построенной из программы по правилам, установленным семантикой используемого языка. Результат вычисления является побочным продуктом этого процесса. "
